id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
23033020011,230330,CE,Cariús,CRAS - Centro de Referência de Assistência Social,,,RUA DA LAGOA - 104,104,Zona Rural,Próximo a Igreja Assembleia de Deus.,CAIPU,63530000,"-6.5358953\,-39.496631699999966",2024-05-09T03:59:59.840Z
23034003326,230340,CE,Carnaubal,CRAS SEDE,,,Joaquim Aleixo de Carvalho - 00,00,,Ao lado do Blac Box,Cruzeiro,62375000,"-4.166203947525095\,-40.94190359115601",2024-05-09T04:00:00.702Z
23034010255,230340,CE,Carnaubal,CRAS II FAVEIRA,,,Rua José Francisco de Medeiros  - 0,0,DISTRITO,Antiga escola José Francisco de Medeiros,FAVEIRA,62375000,"-4.058285782843017\,-40.968339443206794",2024-05-09T04:00:00.702Z
23034012671,230340,CE,Carnaubal,CRAS III OLHO D´AGUA,,,SITIO OLHO D`ÁGUA  - 00,00,,Próximo a capela de Nossa Senhora de Fátima,SITIO,62375000,"-4.1855223212196595\,-40.942584872245796",2024-05-09T04:00:00.702Z
23034035311,230340,CE,Carnaubal,CRAS IV CACHOEIRA,,,FLEXEIRAS - 00,00,,FAZENDA SANTANA,FLEXEIRA,62375000,"-4.143523942876373\,-40.8932027220726",2024-05-09T04:00:02.549Z
23035003320,230350,CE,Cascavel,CRAS SEDE I - ALTO LUMINOSO,,,Major Engenheiro José Goiano Primo - 2376,2376,,PROXIMO AO RAIO.,Alto Luminoso,62850000,"-4.139141956070638\,-38.24503898620606",2024-05-09T03:59:58.907Z
23035015152,230350,CE,Cascavel,CRAS Sede II - Planalto,,,Nossa Senhora do Perpetuo Socorro - 508,508,-,,Planalto,62850000,"-4.1254661491003155\,-38.24750661849976",2024-05-09T03:59:58.907Z
23035020423,230350,CE,Cascavel,CRAS Guanacés,,,IZAAC BENICIO - 970,970,-,PROXIMO A PRAÇA DA MATRIZ,GUANACES,62850000,"-4.142994253453101\,-38.330118656158454",2024-05-09T03:59:58.907Z
23035030096,230350,CE,Cascavel,CRAS Caponga,,,JOSÉ DA SILVA - 798,798,,PX A ESCOLA MUNDO DO SABER,Caponga,62852000,"-4.041372982570318\,-38.19734930992127",2024-05-09T03:59:58.907Z
23036003944,230360,CE,Catarina,JOÃO RODRIGUES MARTINS,,,OSTERNO FEITOSA FERRO - 100,100,,,PEDREIRAS,63595000,"-6.135530470278847\,-39.88029599189759",2024-05-09T04:00:00.239Z
23036502087,230365,CE,Catunda,CRAS CASA DAS FAMÍLIAS,,,SÃO JOSÉ - 186,186,,,CENTRO,62297000,"-4.648770434478476\,-40.200283527374275",2024-05-09T04:00:00.940Z
23037001195,230370,CE,Caucaia,CRAS EDSON DA MOTA CORRÊA,,,JOSÉ DE PONTES - 0,0,,FUNPEM,Açude,61605060,"-3.737686632597181\,-38.65411877632141",2024-05-09T03:59:58.907Z
23037001200,230370,CE,Caucaia,CRAS FRANCISCA ESTRELA TORQUATO,,,Juaci Sampaio Pontes - 2496,2496,Em frente à parede do viaduto da Cigana.,,Cigana,61610215,"-3.7433715083156693\,-38.66424679756165",2024-05-09T03:59:58.907Z
23037001204,230370,CE,Caucaia,CRAS PEDRO TOMÉ RODRIGUES - JUREMA,,,Mateus Lemos - 4401,4401,,Lar Fabiano de Cristo,Marechal Rondon,61661152,"-3.7777476238231853\,-38.62886309623719",2024-05-09T03:59:58.414Z
23037001340,230370,CE,Caucaia,CRAS PARQUE DAS NAÇÕES,,,Estados Unidos - 1511,1511,,Escola Brasileirinho,Parque das Nações,61645090,"-3.7502219486410096\,-38.61169561743737",2024-05-09T03:59:58.642Z
23037020672,230370,CE,Caucaia,CRAS ANTONIO FAÇANHA DE MENEZES - GRILO,,,Júlia da Silva Oliveira - 852,852,,Escola Municipal Maria das Dores,GRILO,61600000,"-3.7253799817029165\,-38.665437698364265",2024-05-09T03:59:58.907Z
23037020673,230370,CE,Caucaia,CRAS FRANCISCO DE ASSIS MARTINS NOGUEIRA - GUADALAJARA,,,CONSULNEL - 579,579,,Proximidades do Cemitério do Potira,PARQUE POTIRA II,61600004,"-3.763193342427117\,-38.62044095993042",2024-05-09T03:59:58.187Z
23037020675,230370,CE,Caucaia,CRAS PERPÉTUA MAGALHÃES - METRÓPOLE,,,127 - 118,118,,POR TRÁS DO COLÉGIO PADRE MORORÓ,NOVA METRÓPOLE,61658220,"-3.766244462418863\,-38.653448224067695",2024-05-09T03:59:58.113Z
23037035751,230370,CE,Caucaia,CRAS JOSÉ TURIBIO DE SOUSA - ARATURI,,,CENTRAL - 0,0,Praça PEC,,ARATURI,61655490,"-3.7688009\,-38.6317573",2024-05-09T04:00:06.369Z
23037037339,230370,CE,Caucaia,CRAS LITORAL,,,Ivan Bezerra - 128,128,,,Camurupim,61625185,"-3.689390473362823\,-38.656961917877204",2024-05-09T04:00:06.369Z
23037038612,230370,CE,Caucaia,CRAS Tereza Alves Ferreira - CAPUAN,,,Coronel Pinho - 0,0,,Em frente a Escola Municipal Coronel Pinho,Capuan,61615000,"-3.73510647910299\,-38.69479179382325",2024-05-09T04:00:02.400Z
23037039032,230370,CE,Caucaia,CRAS José Paulino de Morais,,,JOSÉ PAULINO DE MORAIS - 00,00,,Escola Municipal Paulo Ferreira da Rocha,MATÕES,61680000,"-3.590103333607216\,-38.82568359375001",2024-05-09T04:00:02.549Z
23038003958,230380,CE,Cedro,CRAS 1 - CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL,,," I, CONJUNTO HABITACIONAL  - 28",28,,,CENTRO,63400000,"-6.603638883888619\,-39.06287670135499",2024-05-09T04:00:00.318Z
23038020007,230380,CE,Cedro,CRAS -2 CENTRO DE REFERENCIA DA ASSISTÊNCIA SOCIAL,,,General Tibúrcio - 28,28,,,CENTRO,63400000,"-6.608584011193982\,-39.05931472778321",2024-05-09T04:00:01.865Z
23039004108,230390,CE,Chaval,CRAS CHAVAL,,,RUA RAIMUNDO DE CASTRO MIRANDA - 00,00,,,CENTRO,62420000,"-3.0298451991605204\,-41.23717054724694",2024-05-09T04:00:00.549Z
23039302388,230393,CE,Choró,CRAS - Sebastião Inacio dos Anjos,,,Heldir Baltazar de Queiroz - 241,241,,Fórum Dr. Roberto de Queiroz e Escola de Ensino Médio Emanuel,Cidade Nova,63950000,"-4.852931431011827\,-39.13353541231152",2024-05-09T03:59:59.464Z
23039503986,230395,CE,Chorozinho,CRAS MENINO JESUS,,,LUIS FELIX PEREIRA - 0,0,,,CENTRO,62875000,"-4.30601462123958\,-38.5012435913086",2024-05-09T03:59:58.731Z
23040004104,230400,CE,Coreaú,CRAS - ALDENOR CARNEIRO FILHO,,,7 DE SETEMBRO - 00,00,,PRÓXIMO AO LOTEAMENTO PALMAS,ALTO SÃO JOSÉ,62160000,"-3.5511362196718625\,-40.655722618103034",2024-05-09T04:00:00.702Z
23040020183,230400,CE,Coreaú,CRAS RURAL UBAÚNA,,,Marrocos Mistildes - 0,0,Centro,,UBAÚNA,62160000,"-3.7404193\,-40.68927389999999",2024-05-09T04:00:00.702Z
23041001144,230410,CE,Crateús,CRAS - Centro de Referência da Assistência Social de Crateús/CE - CRAS I,,,Oscar Lopes - 0000,0000,,vizinho a Guarda Civil Municipal,Fátima II,63700000,"-5.187267805592978\,-40.67170590162277",2024-05-09T04:00:01.789Z
23041001165,230410,CE,Crateús,CRAS - Centro de Referência da Assistência Social de Crateús/CE - CRAS II,,,Santa Rita - 100,100,,Próximo a Cozinha Comunitária de Crateús.,Venâncios,63707487,"-5.178140166994255\,-40.64975738525391",2024-05-09T04:00:01.789Z
23041020327,230410,CE,Crateús,CRAS - Centro de Referência da Assistência Social de Crateús/CE - CRAS III,,,Gentil Cardoso - 165,165,Conjunto São José,Próximo à Escola Índigena.,Campo Velho,63700000,"-5.193183277864515\,-40.67261412429809",2024-05-09T04:00:01.789Z
23042003845,230420,CE,Crato,CRAS MESTRE DEDÉ DE LUNA - MURITI,,,PEDRO ORLANDO BEZERRA - 01,01,,PETROBRAS DISTRIBUIDORA S/A,MURITI,63100000,"-7.2219385222199675\,-39.37268257141113",2024-05-09T03:59:59.912Z
23042003851,230420,CE,Crato,CRAS MADRE FEITOSA - SEMINÁRIO,,,JOSÉ PINHEIRO TELES - 169,169,,Centro de Saúde - CICA,SEMINARIO,63113210,"-7.231890291153943\,-39.42239999771119",2024-05-09T03:59:59.840Z
23042003909,230420,CE,Crato,CRAS SOLON PINHEIRO TELES - GISÉLIA PINHEIRO,,,Joaquim Pinheiro Bezerra de Menezes - 718,718,,,Giselia Pinheiro,63115459,"-7.22440359607853\,-39.42668788650815",2024-05-09T03:59:59.840Z
23042003915,230420,CE,Crato,CRAS FRANCISCO RIBEIRO - VILA ALTA,,,CORONEL JOSÉ MAIA - 00,00,,PRÓXIMO A ESCOLA ALDEGUNDES GOMES DE MATO,VILA ALTA,63119060,"-7.221651141679867\,-39.41583395004273",2024-05-09T03:59:59.912Z
23042003921,230420,CE,Crato,CRAS RAIMUNDO COELHO BEZERRA DE FARIAS - ALTO DA PENHA,,,DUQUE DE CAXIAS - 343,343,CASA,Agência do INSS,ALTO DA PENHA,63100000,"-7.2360298\,-39.40680980000002",2024-05-09T03:59:59.912Z
23042038830,230420,CE,Crato,CRAS EDVARDO RIBEIRO - PONTA DA SERRA,,,ANTONIO ARAJANO - 00,00,,"Quadra Poliesportiva",ZONA RURAL,63100000,"-7.234\,-39.409",2024-05-09T04:00:03.392Z
23042304178,230423,CE,Croatá,CRAS ANTONIO MATHEUS NUNES DE CARVALHO,,,SANTA TEREZA - 000,000,,AO LADO DA ARENINHA,CAROBA,62390000,"-4.413356250574269\,-40.900683403015144",2024-05-09T04:00:00.788Z
23042320222,230423,CE,Croatá,CRAS MANOEL RIBEIRO MELO,,,Luiz Pedro - 0,0,,Antigo posto de saúde da Betânia,DISTRITO BETANIA,62390000,"-4.356092885643212\,-40.86387276649476",2024-05-09T04:00:00.788Z
23042503342,230425,CE,Cruz,CRAS CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL - CASA DA FAMILIA,,,14 de Janeiro - 992,992,,Centro de Educação Básica Paulo Freire,ANINGAS,62595000,"-2.9231864214176038\,-40.172570943832405",2024-05-09T04:00:01.865Z
23042602378,230426,CE,Deputado Irapuan Pinheiro,CRAS - MARIA CREUZA PINHEIRO,,,Francisco Alves Bezerra - 154,154,,PRÓXIMO A CRECHE TALITA ANDRADE PINHEIRO,NOVO IRAPUAN,63645000,"-5.912013245204529\,-39.264235496521",2024-05-09T04:00:01.789Z
23042709456,230427,CE,Ererê,CRAS - ERERÉ,,,CAPITÃO DAMIÃO PORTO  - 515,515,prédio,,FRANCISCO NOGUEIRA,63470000,"-6.0302674\,-38.3480597",2024-05-09T03:59:59.464Z
23042802615,230428,CE,Eusébio,CRAS SEDE,,,IRMÃ AMBROSINA  - 775,775,,,PARQUE HAVAÍ,61761340,"-3.897566190210445\,-38.4488868713379",2024-05-09T03:59:58.414Z
23042820480,230428,CE,Eusébio,CRAS MANGABEIRA,,,Francisco Ferreira da Silva - 0,0,SN,,Mangabeira,61778350,"-3.863390231408593\,-38.442508578300476",2024-05-09T03:59:58.414Z
23042820482,230428,CE,Eusébio,CRAS JABUTI,,,DOS MORAIS - 392,392,KM 19,,JABUTI,61760740,"-3.9120526211321605\,-38.482284396886826",2024-05-09T03:59:58.492Z
23043004152,230430,CE,Farias Brito,CRAS - Josefa Epifânio de Sousa,,,Rua Elpidio Ricardo de Carvalho - 90,90,,Fica localizado no antigo Centro Social Urbano,Centro,63185000,"-6.926409641532205\,-39.570162788391144",2024-05-09T04:00:00.077Z
23043020408,230430,CE,Farias Brito,CRAS - Francisco Bezerra da Silva,,,Ladislau Pereira - 0,0,,próximo a EEF Cosmo Alves Pereira,QUINCUNCA,63185000,"-6.8712645085268935\,-39.61442470550537",2024-05-09T04:00:00.077Z
23043502536,230435,CE,Forquilha,CRAS MARIA ROSA DE SIQUEIRA REGINO,,,Paulo Franklin Barbosa - 0,0,,Antigo posto de saúde,Edmundo Rodrigues,62115000,"-3.8008605410785665\,-40.26726365089417",2024-05-09T04:00:00.475Z
23044002257,230440,CE,Fortaleza,CRAS BARRA DO CEARÁ,,,CÂNDIDO CASTELO BRANCO - 0,0,,EM FRENTE A GRENDENE,BARRA DO CEARÁ,60331190,"-3.70837307398202\,-38.5799664258957",2024-05-09T03:59:59.613Z
23044002259,230440,CE,Fortaleza,CRAS JACARECANGA,,,OTO DE ALENCAR - 27,27,,Colégio Liceu do Ceará,JACARECANGA,60010270,"-3.721284863938799\,-38.53896617889405",2024-05-09T03:59:58.187Z
23044002575,230440,CE,Fortaleza,CRAS VILA UNIÃO,,,DO AVIÃO - 0,0,,Lagoa do Opaia,VILA UNIÃO,60410808,"-3.7704410731435294\,-38.53282928466797",2024-05-09T03:59:58.038Z
23044002577,230440,CE,Fortaleza,CRAS SERRINHA,,,INACIO PARENTE - 100,100,,proximo ao aeroporto,SERRINHA,60741280,"-3.7812906\,-38.5459609",2024-05-09T03:59:59.767Z
23044002606,230440,CE,Fortaleza,CRAS COUTO FERNANDES,,,JOÃO PESSOA - 4474,4474,,PRÓXIMO À RUA COSTA MENDES,DAMAS,60425812,"-3.752081\,-38.5493313",2024-05-09T03:59:58.038Z
23044002610,230440,CE,Fortaleza,CRAS JOÃO PAULO II,,,10 - 75,75,CONJ JOAO PAULO II,Ao lado da Escola de Ensino Fundamental e Médio Aloysio Barros Leal,JANGURUSSU,60863630,"-3.825610694707197\,-38.51840972900391",2024-05-09T03:59:59.767Z
23044002613,230440,CE,Fortaleza,CRAS JARDIM DAS OLIVEIRAS,,,MAJOR OTACÍLIO AFONSO SOUZA - 61,61,,,JARDIM DAS OLIVEIRAS,60821310,"-3.7858195511357775\,-38.503700494766235",2024-05-09T03:59:59.464Z
23044002959,230440,CE,Fortaleza,CRAS BELA VISTA,,,MÁRIO DE ANDRADE - 496,496,A,próximo ao Mercado da Bela Vista,BELA VISTA,60442132,"-3.751898354284654\,-38.56372980023582",2024-05-09T03:59:59.767Z
23044002961,230440,CE,Fortaleza,CRAS QUINTINO CUNHA,,,ILHA DO BOTE - 334,334,Conjunto São Francisco,,QUINTINO CUNHA,60352620,"-3.7373979861909605\,-38.59949017175825",2024-05-09T03:59:58.038Z
23044002965,230440,CE,Fortaleza,CRAS GRANJA PORTUGAL,,,HUMBERTO LOMEU - 1130,1130,,CAPS Infantil,GRANJA PORTUGAL,60541115,"-3.7820359424802863\,-38.60196610317598",2024-05-09T03:59:59.767Z
23044002969,230440,CE,Fortaleza,CRAS BOM JARDIM,,,CORONEL JOÃO CORREIA - 2023,2023,,IGREJA SANTA CECÍLIA,GRANJA LISBOA,60540285,"-3.7900117574138172\,-38.61046025306473",2024-05-09T03:59:58.038Z
23044003015,230440,CE,Fortaleza,CRAS GENIBAÚ,,,I - 340,340,3ª ETAPA,Posto de Saúde Ronaldo Albuquerque,CONJUNTO CEARÁ,60533670,"-3.7666031021366155\,-38.59721839427948",2024-05-09T03:59:59.613Z
23044003018,230440,CE,Fortaleza,CRAS MONDUBIM,,,WALDIR DIOGO - 840,840,,Escola Hilza Diogo,Mondubim,60764020,"-3.804104342180127\,-38.58577609062195",2024-05-09T03:59:59.613Z
23044004032,230440,CE,Fortaleza,CRAS SERVILUZ,,,ZEZÉ DIOGO - 1038,1038,,Colégio das Irmãs Capuchinhas,CAIS DO PORTO,60180012,"-3.71623151591161\,-38.465205430984504",2024-05-09T03:59:58.038Z
23044004034,230440,CE,Fortaleza,CRAS LAGAMAR,,,SABINO MONTE - 4506,4506,,Supermercado Pontes,SÃO JOÃO DO TAUAPE,60120230,"-3.7615291\,-38.51114610000002",2024-05-09T03:59:59.613Z
23044004035,230440,CE,Fortaleza,CRAS MUCURIPE,,,PROFESSOR LUIZ COSTA - 142,142,,Ponto Final do Ônibus Aldeota,MUCURIPE,60175550,"-3.72679854746559\,-38.47773671150208",2024-05-09T03:59:59.613Z
23044004038,230440,CE,Fortaleza,CRAS CASTELÃO,,,ALBERTO CRAVEIRO - 1480,1480,,COMPLEXO DE CIDADANIA DR. PONTES NETO,BOA VISTA,60861212,"-3.7932330255156472\,-38.51826488971711",2024-05-09T03:59:58.038Z
23044004039,230440,CE,Fortaleza,CRAS DENDÊ,,,ADOLFO MOREIRA DE CARVALHO - 96,96,,Próximo ao Fórum Clóvis Beviláqua.,EDSON QUEIROZ,60811700,"-3.824529496148171\,-38.51479411125184",2024-05-09T03:59:58.568Z
23044006645,230440,CE,Fortaleza,CRAS PRAIA DO FUTURO,,,CLÓVIS ARRAIS MAIA - 6430,6430,,"COMPLEXO FREI TITO, BARRACA ARPÃO",PRAIA DO FUTURO II,60183696,"-3.764697492390772\,-38.44041109085084",2024-05-09T03:59:58.038Z
23044014825,230440,CE,Fortaleza,CRAS CONJUNTO ESPERANÇA,,,103 - 195,195,,,CONJUNTO ESPERANÇA,60763520,"-3.8138943\,-38.5895595",2024-05-09T03:59:58.038Z
23044014833,230440,CE,Fortaleza,CRAS ARACAPÉ,,,Poliana - 0,0,,de frente ao n101,Aracapé,60765450,"-3.833454695850656\,-38.55024486780167",2024-05-09T03:59:59.690Z
23044014848,230440,CE,Fortaleza,CRAS CANINDEZINHO,,,JOSÉ MAURÍCIO - 405,405,,Ginásio Poliesportivo do Siqueira.,CANINDEZINHO,60736140,"-3.8079259689962046\,-38.610098361969",2024-05-09T03:59:59.840Z
23044020244,230440,CE,Fortaleza,CRAS CONJUNTO PALMEIRAS,,,IRACEMA - 1860,1860,,Mercantil Senna,CONJUNTO PALMEIRAS,60870260,"-3.8471487416008108\,-38.53025436401368",2024-05-09T03:59:59.767Z
23044037683,230440,CE,Fortaleza,CRAS ANTÔNIO BEZERRA,,,CÂNDIDO MAIA - 245,245,,Hospital Frotinha Antônio Bezerra,ANTÔNIO BEZERRA,60356830,"-3.737542101378015\,-38.59033048152924",2024-05-09T04:00:02.625Z
23044037919,230440,CE,Fortaleza,CRAS PRESIDENTE KENNEDY,,,CONJUNTO CASTELO BRANCO - 0,0,QUADRA F,ESCOLA GABRIEL CAVALCANTE,PRESIDENTE KENNEDY,60175045,"-3.729132484647312\,-38.57049822807313",2024-05-09T04:00:02.549Z
23044037921,230440,CE,Fortaleza,CRAS MESSEJANA,,,EDMILSON COELHO - 1720,1720,,Próximo à Escola Terezinha Parente e Escola Isabel Ferreira.,LAGOA REDONDA,60831465,"-3.8308560940866765\,-38.46736192703248",2024-05-09T04:00:03.171Z
23044038534,230440,CE,Fortaleza,CRAS JOÃO XXIII,,,VISCONDE DE CAUÍPE - 200,200,,Avenida Lineu Machado,JOÃO XXIII,60250790,"-3.774525255202414\,-38.58070135116578",2024-05-09T04:00:02.174Z
23044501107,230445,CE,Fortim,CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS,,,JOAQUIM CRISÓSTOMO - 1162,1162,,PRÓXIMO AO FÓRUM.,CENTRO,62815000,"-4.450816278539835\,-37.802538871765144",2024-05-09T03:59:59.298Z
23045003351,230450,CE,Frecheirinha,CRAS ALDENI PONTES SOUZA,,,SANTA LUZIA - 0,0,,,LAPA,62340000,"-3.759537337204859\,-40.81332921981812",2024-05-09T04:00:00.788Z
23046002057,230460,CE,General Sampaio,CRAS -CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL RAIMUNDA ALVES DA SILVA,,,JOSÉ SEVERINO FILHO - 567,567,,PRÓXIMO A IGREJA NOSSA SENHORA DO ROSÁRIO,NOSSA SENHORA DO ROSÁRIO,62738000,"-4.051565930154776\,-39.450824264526375",2024-05-09T03:59:59.063Z
23046504184,230465,CE,Graça,CRAS MARIA ODETE DE CARVALHO LOPES,,,CONJUNTO HABITACIONAL 15 DE ABRIL - 0,0,,CASAS POPULARES,CENTRO,62365000,"-4.045693716493878\,-40.75240996666253",2024-05-09T04:00:00.788Z
23046520109,230465,CE,Graça,CRAS ANTONIO COSME DE LIMA,,,MARIANO SARAIVA - 0,0,S/N,,ZONA RURAL,62365000,"-4.0855773\,-40.8244234",2024-05-09T03:59:57.769Z
23047004110,230470,CE,Granja,CRAS JOSÉ GARCEZ ROCHA,,,CARLOS DIAS - 547,547,,ANTIGO PSF DA LAGOA,FÁTIMA,62430000,"-3.112705505142049\,-40.8294439315796",2024-05-09T04:00:00.475Z
23047004112,230470,CE,Granja,CRAS JOSÉ FROTA VIANA,,,PARÁ - 00,00,,Antigo PSF do DERT,SÃO PEDRO,62430000,"-3.1286356263778217\,-40.825999975204475",2024-05-09T04:00:00.475Z
23048001643,230480,CE,Granjeiro,CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL DE GRANJEIRO,,," DO CRUZEIRO - 00",00,,PRÓXIMO AO CENTRO EDUCACIONAL ZULMIRA MARQUES,CENTRO,63230000,"-6.713709495051198\,-39.57550048828126",2024-05-09T03:59:59.840Z
23049003346,230490,CE,Groaíras,CON° RAIMUNDO CASSIANO FEIJÃO,,,Rua José Ferreira do Nascimento  - 04,04,,Ao lado do Posto de Policiamento. Antigo Centro de Convivência,Chico Jerônimo,62190000,"-3.9147138584601002\,-40.38138628005982",2024-05-09T04:00:01.789Z
